hemsId,date,postal,main,solarGenerated,solarSold,batteryCharge,batteryDischarge,fuelCell,gasUsage,waterUsage
HGW1540053189,2016-06-11T00:00:00,276-0046,150,,,,,,,
HGW1849081661,2016-06-11T00:00:00,261-0013,180,,,,,,,
HGW2592410415,2016-06-11T00:00:00,276-0046,270,,,,,,,
HGW4192227781,2016-06-11T00:00:00,206-0824,40,,,,,245,0.07,
HGW2440335259,2016-06-11T00:00:00,206-0824,80,,,,,298,0.07,
HGW0022302486,2016-06-11T00:00:00,276-0046,60,,,,,400,0.11,
HGW0119000400,2016-06-11T00:00:00,276-0046,1590,,,619,,,,
HGW0527078356,2016-06-11T00:00:00,206-0824,210,,,,,,,
HGW3418795782,2016-06-11T00:00:00,276-0046,210,,,,,,,
HGW4086841355,2016-06-11T00:00:00,261-0013,400,,,,,,,
HGW2053016894,2016-06-11T00:00:00,261-0013,250,,,,,,,
HGW4262390424,2016-06-11T00:00:00,276-0046,110,,,,,,,
HGW2056923843,2016-06-11T00:00:00,276-0046,380,,,,,,,
HGW1567490790,2016-06-11T00:00:00,276-0046,160,,,,,,,
HGW2731818357,2016-06-11T00:00:00,276-0046,280,,,,,,,
HGW0999938138,2016-06-11T00:00:00,261-0013,50,,,,,232,0.07,
HGW1484386037,2016-06-11T00:00:00,261-0013,240,,,,,,,
HGW2626196856,2016-06-11T00:00:00,276-0046,150,,,,,328,0.13,
HGW3813403007,2016-06-11T00:00:00,261-0013,110,,,,,,,
HGW0341161038,2016-06-11T00:00:00,276-0046,80,,10,,,115,0.05,
HGW3506558406,2016-06-11T00:00:00,276-0046,220,,,,,,,
HGW3088922230,2016-06-11T00:00:00,206-0824,2520,,,2191,,,,
HGW0807025331,2016-06-11T00:00:00,261-0013,130,,,,,,,
HGW3316354389,2016-06-11T00:00:00,276-0046,50,,,,,386,0.11,
HGW3835466207,2016-06-11T00:00:00,261-0013,600,,,,,,,
HGW3938264288,2016-06-11T00:00:00,261-0013,120,,,,,,,
HGW0960788623,2016-06-11T00:00:00,206-0824,480,,,,,,,
HGW2465318239,2016-06-11T00:00:00,206-0824,90,,,,,481,,
HGW4201723405,2016-06-11T00:00:00,206-0824,290,,,,,,,
HGW2984162470,2016-06-11T00:00:00,206-0824,614,,,125,10,,,
HGW2862754275,2016-06-11T00:00:00,573-0084,2407,,,852,,,,0.013
HGW2864422167,2016-06-11T00:00:00,274-0063,323,,,,7,359,0.095,
HGW1145276568,2016-06-11T00:00:00,194-0032,47,,,,,254,0.08,0.001
HGW1628028254,2016-06-11T00:00:00,245-0016,173,,,,,,,
HGW3819013474,2016-06-11T00:00:00,245-0016,496,,,,,,,0.001
HGW0109674464,2016-06-11T00:00:00,245-0016,307,,,,,,,
HGW4266179256,2016-06-11T00:00:00,595-0813,334,,,,,,,
HGW2675582057,2016-06-11T00:00:00,274-0063,2759,,,2160,,,,
HGW2507102389,2016-06-11T00:00:00,245-0016,284,,,,,,,0.036
HGW0292545493,2016-06-11T00:00:00,194-0032,929,,,,,,,0.009
HGW1888757583,2016-06-11T00:00:00,194-0032,138,,,,,,,
HGW3087458710,2016-06-11T00:00:00,573-0084,39,,,,,289,0.17,
HGW2360924179,2016-06-11T00:00:00,245-0016,476,,,,,295,0.09,
HGW2979506575,2016-06-11T00:00:00,573-0084,313,,,,,,,0.058
HGW3939678160,2016-06-11T00:00:00,573-0084,89,,,,,271,0.08,0.008
